semester;date;price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;grade;sqft_above;sqft_basement;yr_built;yr_renovated;zipcode;lat;long;sqft_living15;sqft_lot15
1;20140502T000000;313000;3;1.5;1340;7912;1.5;0;0;3;7;1340;0;1955;0;98133;477.658;-122.339;1480;7940
;;;;;;;;;;;;;;;;;;;;
1;20140502T000000;342000;3;2;1930;11947;1;0;0;4;8;1930;0;1966;0;98042;473.672;-122.151;2200;12825
1;20140502T000000;420000;3;2.25;2000;8030;1;0;0;4;8;1000;1000;1963;0;98008;476.188;-122.114;2070;8250
;;;;;;;;;;;;;;;;;;;;
1;20140502T000000;490000;2;1;880;6380;1;0;0;3;7;880;0;1938;1994;98115;476.924;-122.322;1340;6380
1;20140502T000000;335000;2;2;1350;2560;1;0;0;3;8;1350;0;1976;0;98052;476.344;-122.107;1790;2560
;;;;;;;;;;;;;;;;;;;;
1;20140502T000000;452500;3;2.5;2430;88426;1;0;0;4;7;1570;860;1985;0;98045;474.828;-121.718;1560;56827
;;;;;;;;;;;;;;;;;;;;
1;20140502T000000;463000;3;1.75;1710;7320;1;0;0;3;7;1710;0;1948;0;98155;477.512;-122.281;2260;8839
;;;;;;;;;;;;;;;;;;;;
1;20140502T000000;588500;3;1.75;2330;14892;1;0;0;3;8;1970;360;1980;0;98074;476.267;-122.046;2570;14217
1;20140502T000000;365000;3;1;1090;6435;1;0;0;4;7;1090;0;1955;0;98106;475.334;-122.365;1340;6435
;;;;;;;;;;;;;;;;;;;;
1;20140502T000000;242500;3;1.5;1200;9720;1;0;0;4;7;1200;0;1965;0;98042;474.225;-122.153;1380;10284
1;20140502T000000;419000;3;1.5;1570;6700;1;0;0;4;7;1570;0;1956;0;98007;476.022;-122.134;1570;7300
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140502T000000;257950;3;1.75;1370;5858;1;0;0;3;7;1370;0;1987;0;98198;473.815;-122.313;1400;7500
1;20140502T000000;275000;3;1.5;1180;10277;1;0;0;3;6;1180;0;1983;0;98045;47.488;-121.787;1680;11104
1;20140502T000000;750000;3;1.75;2240;10578;2;0;0;5;8;1550;690;1923;0;98115;476.954;-122.292;1570;10578
;;;;;;;;;;;;;;;;;;;;
1;20140502T000000;626000;3;2.25;1750;1572;2.5;0;0;3;9;1470;280;2005;0;98102;476.498;-122.321;2410;3050
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140502T000000;285000;3;2.5;2090;10834;1;0;0;4;8;1360;730;1987;0;98003;473.537;-122.303;1750;8595
1;20140502T000000;615000;3;1.75;2360;7291;1;0;0;4;8;1360;1000;1948;0;98136;475.274;-122.384;1860;5499
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140502T000000;790000;3;2.5;2600;4750;1;0;0;4;9;1700;900;1951;0;98117;476.833;-122.4;2380;4750
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140502T000000;604000;3;2.5;3240;33151;2;0;2;3;10;3240;0;1995;0;98023;473.256;-122.378;4050;24967
1;20140502T000000;440000;2;1;800;4850;1;0;0;4;7;800;0;1944;0;98107;476.639;-122.364;1150;4365
1;20140502T000000;287200;3;3;1850;19966;1;0;0;4;7;1090;760;1992;0;98038;473.493;-122.034;1410;6715
1;20140502T000000;403000;3;2;1960;13100;1;0;2;5;8;1650;310;1957;0;98166;474.419;-122.34;1960;10518
1;20140502T000000;750000;3;2.5;2390;6550;1;0;2;4;8;1440;950;1955;0;98116;475.714;-122.408;2010;6550
1;20140502T000000;335000;3;2.25;1580;16215;1;0;0;4;7;1580;0;1978;0;98024;475.643;-121.897;1450;16215
;;;;;;;;;;;;;;;;;;;;
1;20140502T000000;308500;2;1;850;6174;1;0;0;4;7;850;0;1950;0;98155;477.352;-122.328;1100;6174
1;20140502T000000;439950;3;2.5;1770;2875;2;0;0;3;8;1770;0;1990;0;98116;475.631;-122.397;1770;3833
1;20140502T000000;235000;2;1;1210;9400;1;0;0;2;6;1210;0;1949;0;98106;475.342;-122.36;1580;6026
1;20140502T000000;315000;3;1;1160;9180;1;0;0;3;7;1160;0;1968;0;98077;477.427;-122.072;1160;10282
1;20140502T000000;437500;3;2.25;1970;35100;2;0;0;4;9;1970;0;1977;0;98027;474.635;-121.991;2340;35100
1;20140502T000000;407500;3;2.5;1930;10460;2;0;0;3;8;1930;0;1996;0;98059;474.938;-122.161;2290;8228
1;20140502T000000;445700;3;2.5;1270;1180;3;0;0;3;8;1270;0;2001;0;98107;476.697;-122.392;1320;1180
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
1;20140502T000000;550000;3;1.75;2910;35200;1.5;0;0;3;8;2910;0;1979;0;98075;475.747;-122.035;2590;37500
